epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3872,0.00483,4.61906,1.04266,0.01569,0.2,0.1592,0.09026,0.00396,4.6365,0.89242,0.00013635,0.00013635,0.00013635
2,170.838,0.0046,3.7029,0.94429,0.01744,0.14568,0.125,0.0961,0.0041,4.37373,0.89328,0.000279,0.000279,0.000279
3,259.802,0.00452,2.92561,0.93369,0.03735,0.24118,0.14367,0.10035,0.00399,3.95897,0.88525,0.000418771,0.000418771,0.000418771
4,361.713,0.00462,2.42757,0.94861,0.96754,0.1,0.19347,0.11343,0.00417,3.50968,0.89896,0.000555662,0.000555662,0.000555662
5,429.269,0.00425,2.27682,0.92094,0.98863,0.1,0.22842,0.15205,0.00424,3.47844,0.92599,0.000689673,0.000689673,0.000689673
6,527.875,0.00426,2.0977,0.92299,0.94585,0.12392,0.22866,0.16176,0.00392,2.86722,0.92891,0.000820804,0.000820804,0.000820804
7,631.253,0.00433,2.01251,0.9176,0.79266,0.21046,0.23377,0.14401,0.00386,2.2419,0.93303,0.000855005,0.000855005,0.000855005
8,741.126,0.00406,1.89076,0.90712,0.63517,0.19862,0.22466,0.14174,0.00366,1.98742,0.94335,0.000846006,0.000846006,0.000846006
9,850.046,0.00401,1.81528,0.90608,0.68109,0.22874,0.2418,0.1694,0.00353,1.70631,0.92935,0.000837007,0.000837007,0.000837007
10,951.096,0.00401,1.78668,0.91033,0.80667,0.21528,0.24484,0.18415,0.00341,1.71843,0.9088,0.000828008,0.000828008,0.000828008
11,1073.8,0.00375,1.68367,0.90221,0.71029,0.19712,0.20047,0.1495,0.00341,1.71717,0.91731,0.000819009,0.000819009,0.000819009
12,1147.14,0.00378,1.70976,0.90024,0.56163,0.20806,0.23676,0.17358,0.00335,1.97634,0.90095,0.00081001,0.00081001,0.00081001
13,1238.18,0.00378,1.74083,0.89381,0.56444,0.20098,0.21505,0.16001,0.00358,1.96557,0.92619,0.000801011,0.000801011,0.000801011
14,1324.03,0.00395,1.68542,0.90086,0.82221,0.16957,0.21504,0.14521,0.00368,1.90198,0.94699,0.000792012,0.000792012,0.000792012
15,1385.21,0.00391,1.60743,0.90306,0.90072,0.20806,0.22962,0.16809,0.00344,1.62901,0.9106,0.000783013,0.000783013,0.000783013
16,1468.48,0.00365,1.57414,0.89573,0.3779,0.21026,0.23566,0.18981,0.00317,1.6236,0.89323,0.000774013,0.000774013,0.000774013
17,1544.58,0.00362,1.49866,0.88767,0.3737,0.21138,0.22919,0.19437,0.00347,1.89709,0.91086,0.000765014,0.000765014,0.000765014
18,1630.12,0.00351,1.44897,0.8792,0.39282,0.20886,0.22822,0.18035,0.00307,1.5741,0.90299,0.000756015,0.000756015,0.000756015
19,1694.72,0.00351,1.47798,0.88369,0.46344,0.20372,0.23356,0.18672,0.00306,1.64917,0.90177,0.000747016,0.000747016,0.000747016
20,1805.3,0.0035,1.46989,0.88667,0.45992,0.25405,0.26863,0.20815,0.00304,1.66875,0.89593,0.000738017,0.000738017,0.000738017
21,1888.83,0.00338,1.40558,0.88328,0.63803,0.21251,0.23444,0.17694,0.00302,1.42577,0.8995,0.000729018,0.000729018,0.000729018
22,1994.73,0.00336,1.37573,0.87852,0.62576,0.20874,0.21919,0.17461,0.00306,1.43071,0.89229,0.000720019,0.000720019,0.000720019
23,2074.28,0.00335,1.4184,0.87437,0.61985,0.20736,0.23269,0.17523,0.00307,1.54278,0.89763,0.00071102,0.00071102,0.00071102
24,2171.81,0.0034,1.35185,0.88222,0.52694,0.24065,0.24975,0.19789,0.00319,1.39388,0.8954,0.000702021,0.000702021,0.000702021
25,2285.97,0.00343,1.30834,0.87114,0.34737,0.24304,0.25975,0.2039,0.00326,1.67905,0.90029,0.000693022,0.000693022,0.000693022
26,2387.17,0.00346,1.37054,0.8711,0.38393,0.23318,0.22454,0.17223,0.00322,1.38406,0.90261,0.000684022,0.000684022,0.000684022
27,2514.01,0.00331,1.32116,0.87604,0.49238,0.23318,0.24217,0.19701,0.00311,1.56959,0.89601,0.000675023,0.000675023,0.000675023
28,2599.6,0.00337,1.24898,0.87305,0.64803,0.25981,0.27742,0.22545,0.00289,1.59983,0.88353,0.000666024,0.000666024,0.000666024
29,2712.8,0.00328,1.25219,0.86941,0.66503,0.21755,0.24327,0.17493,0.00308,1.46728,0.89346,0.000657025,0.000657025,0.000657025
30,3033.76,0.00333,1.32724,0.86752,0.99385,0.05,0.08296,0.06277,0.00298,1.59836,0.89818,0.000648026,0.000648026,0.000648026
31,3272.05,0.00326,1.23831,0.87333,0.61853,0.21096,0.22243,0.16492,0.00317,1.42064,0.92557,0.000639027,0.000639027,0.000639027
32,3518.62,0.00332,1.20469,0.86785,0.99365,0.05,0.08075,0.06204,0.0032,1.43437,0.90623,0.000630028,0.000630028,0.000630028
33,4068.86,0.00326,1.2451,0.8703,0.41326,0.22738,0.23444,0.19948,0.00301,1.49157,0.90439,0.000621029,0.000621029,0.000621029
34,4308.72,0.00332,1.25994,0.86594,0.4118,0.22758,0.23303,0.18915,0.003,1.47437,0.89928,0.00061203,0.00061203,0.00061203
35,4799.23,0.00322,1.18359,0.86575,0.44209,0.23853,0.24269,0.19659,0.00298,1.58763,0.89477,0.000603031,0.000603031,0.000603031
36,5097.89,0.00325,1.12205,0.86039,0.45367,0.22988,0.24681,0.20981,0.0029,1.59036,0.89477,0.000594031,0.000594031,0.000594031
37,5472.92,0.00309,1.11555,0.86477,0.44664,0.24778,0.24727,0.18926,0.00295,1.5809,0.90158,0.000585032,0.000585032,0.000585032
38,6344.41,0.00322,1.12153,0.86274,0.42717,0.21733,0.24624,0.20421,0.00284,1.45138,0.891,0.000576033,0.000576033,0.000576033
