epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.797,0.9438,1.51911,4.68105,0.98322,0,0,0,0,0,0,0,0,0.90992,1.42503,4.58622,0.90373,0.00013328,0.00013328,0.00013328
2,355.395,0.8157,0.96493,4.12103,0.86415,0.02115,0.14668,0.04222,0.03016,0.02165,0.14881,0.0425,0.0336,0.86815,1.24865,4.477,0.88196,0.000269529,0.000269529,0.000269529
3,612.456,0.83812,0.94194,3.61913,0.87042,0.0343,0.15952,0.05554,0.04158,0.03465,0.16036,0.05573,0.04463,0.87648,1.23098,4.40994,0.91641,0.000403956,0.000403956,0.000403956
4,866.387,0.80231,0.87879,3.14059,0.86326,0.02885,0.14448,0.04434,0.03511,0.02953,0.14857,0.04579,0.03434,0.91069,1.1924,3.8646,0.90161,0.000466575,0.000466575,0.000466575
5,1153.63,0.78796,0.87574,2.82381,0.85933,0.08688,0.08743,0.03811,0.03115,0.09341,0.08398,0.03794,0.02984,0.85201,1.10069,3.15614,0.89427,0.000463434,0.000463434,0.000463434
6,1438.64,0.75071,0.84676,2.68176,0.86626,0.11325,0.06666,0.04237,0.03438,0.11325,0.06666,0.04237,0.03259,0.83877,1.08337,2.80073,0.89534,0.000460292,0.000460292,0.000460292
7,1803.75,0.75387,0.85332,2.58021,0.86268,0.12321,0.0435,0.03641,0.03178,0.12321,0.0435,0.03641,0.02864,0.82888,1.11633,2.71825,0.90122,0.00045715,0.00045715,0.00045715
8,2271.13,0.73139,0.84806,2.52123,0.86302,0.12209,0.03617,0.03872,0.03258,0.12209,0.03617,0.03873,0.02953,0.81217,1.15015,2.65762,0.90718,0.000454009,0.000454009,0.000454009
9,2875.63,0.70817,0.83598,2.43779,0.85754,0.10562,0.04232,0.03108,0.02702,0.10562,0.04232,0.03108,0.02423,0.76871,1.06138,2.46602,0.89165,0.000450867,0.000450867,0.000450867
10,3388.72,0.66952,0.76691,2.36553,0.84533,0.12152,0.04507,0.03978,0.03462,0.12152,0.04507,0.03978,0.03098,0.77715,1.099,2.48105,0.89355,0.000447726,0.000447726,0.000447726
11,4025.12,0.6801,0.76563,2.34073,0.85186,0.1326,0.04273,0.03943,0.03565,0.1326,0.04273,0.03943,0.03151,0.74376,1.03702,2.37169,0.88275,0.000444584,0.000444584,0.000444584
12,4729.96,0.66181,0.77454,2.29814,0.84681,0.13021,0.04075,0.04308,0.03897,0.13021,0.04075,0.04308,0.03438,0.76385,1.05204,2.38817,0.8973,0.000441442,0.000441442,0.000441442
13,5379.76,0.65892,0.77198,2.23383,0.84654,0.21693,0.03384,0.04259,0.03877,0.21693,0.03384,0.04259,0.03383,0.75751,1.06119,2.39968,0.90028,0.000438301,0.000438301,0.000438301
14,6059.17,0.64896,0.76197,2.19996,0.84308,0.22606,0.03306,0.05119,0.04515,0.22606,0.03306,0.05119,0.03957,0.73222,1.00267,2.43116,0.89342,0.000435159,0.000435159,0.000435159
15,7295.02,0.63047,0.72457,2.19461,0.8407,0.33572,0.01965,0.02775,0.02477,0.33572,0.01965,0.02775,0.02093,0.79511,1.16549,2.40837,0.90987,0.000432018,0.000432018,0.000432018
16,8126.84,0.63542,0.73404,2.14406,0.84186,0.22011,0.04406,0.04286,0.03871,0.22011,0.04406,0.04286,0.03472,0.74242,1.03421,2.35948,0.90218,0.000428876,0.000428876,0.000428876
17,8876.86,0.60635,0.70109,2.11293,0.83953,0.26937,0.02353,0.03328,0.03065,0.26937,0.02353,0.03328,0.02629,0.73034,0.98634,2.46789,0.89472,0.000425734,0.000425734,0.000425734
18,10986.8,0.63904,0.74404,2.06309,0.84742,0.18017,0.02494,0.03006,0.02742,0.18017,0.02494,0.03006,0.02331,0.75254,1.05263,2.28715,0.90122,0.000422593,0.000422593,0.000422593
19,12283.8,0.5992,0.70408,2.079,0.83448,0.26693,0.02018,0.02874,0.02554,0.26693,0.02018,0.02874,0.02256,0.73248,1.04746,2.22742,0.89203,0.000419451,0.000419451,0.000419451
20,14460.4,0.61829,0.71932,2.05598,0.83451,0.24213,0.03158,0.03432,0.03134,0.24213,0.03158,0.03432,0.02742,0.74322,1.06314,2.1932,0.90669,0.00041631,0.00041631,0.00041631
21,18715.4,0.60935,0.73517,2.03376,0.83626,0.21183,0.02383,0.03038,0.02706,0.21183,0.02383,0.03038,0.02371,0.72776,1.05361,2.45758,0.89182,0.000413168,0.000413168,0.000413168
22,32588.7,0.5937,0.70059,2.02287,0.83951,0.20518,0.02663,0.03462,0.03176,0.20518,0.02663,0.03462,0.02735,0.73354,1.0596,2.21973,0.89361,0.000410026,0.000410026,0.000410026
23,42258.6,0.60567,0.71951,2.0034,0.83696,0.24508,0.03873,0.04669,0.04369,0.24508,0.03873,0.04669,0.036,0.72758,1.00778,2.13922,0.90074,0.000406885,0.000406885,0.000406885
24,61553.5,0.59831,0.71453,1.91154,0.83985,0.31213,0.02325,0.03607,0.03271,0.31213,0.02325,0.03607,0.02682,0.75553,1.11313,2.17408,0.90927,0.000403743,0.000403743,0.000403743
25,83903.2,0.61289,0.72324,1.91675,0.83295,0.50226,0.01426,0.03101,0.02707,0.50226,0.01426,0.03101,0.02276,0.71174,1.06186,2.00311,0.89406,0.000400602,0.000400602,0.000400602
26,111770,0.62899,0.75031,1.89226,0.84225,0.37133,0.01446,0.0258,0.02313,0.37133,0.01446,0.0258,0.01863,0.72049,1.04457,2.10516,0.89384,0.00039746,0.00039746,0.00039746
27,138084,0.60035,0.71578,1.88074,0.83845,0.52306,0.02042,0.02937,0.02744,0.52306,0.02042,0.02937,0.02308,0.71282,1.02487,2.0946,0.89788,0.000394318,0.000394318,0.000394318
28,166097,0.61087,0.74019,1.81197,0.84309,0.45758,0.01453,0.02949,0.02568,0.45758,0.01453,0.02949,0.02201,0.70311,0.99886,2.08499,0.89221,0.000391177,0.000391177,0.000391177
29,191296,0.60013,0.70747,1.8455,0.83339,0.24772,0.02127,0.0299,0.0264,0.24772,0.02127,0.0299,0.02295,0.71903,1.07291,2.09506,0.89728,0.000388035,0.000388035,0.000388035
30,215698,0.58394,0.69384,1.83181,0.83409,0.45205,0.02164,0.03331,0.03066,0.45205,0.02164,0.03331,0.02565,0.70307,1.00348,1.99942,0.88768,0.000384894,0.000384894,0.000384894
31,244735,0.60087,0.69562,1.74851,0.83488,0.2963,0.01996,0.03485,0.03153,0.2963,0.01996,0.03485,0.02526,0.7046,1.03424,2.03899,0.88436,0.000381752,0.000381752,0.000381752
32,271676,0.59209,0.69255,1.7759,0.8364,0.47425,0.01368,0.02759,0.02445,0.47425,0.01368,0.02759,0.02195,0.72606,1.02922,2.13352,0.90339,0.00037861,0.00037861,0.00037861
33,306111,0.57603,0.67677,1.74444,0.82935,0.04497,0.01453,0.03523,0.03101,0.04497,0.01453,0.03523,0.02757,0.70937,1.0144,2.15882,0.89395,0.000375469,0.000375469,0.000375469
