epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.743,0.02318,0.0343,1.92,0.95042,0.60758,0.05419,0.07601,0.05718,0.60758,0.05419,0.07675,0.06103,0.02107,0.02802,1.85297,0.88341,0.000157263,0.000157263,0.000157263
2,273.21,0.02199,0.02546,1.59651,0.88514,0.22725,0.17371,0.12167,0.08954,0.22464,0.1697,0.11814,0.09004,0.02277,0.02799,1.5534,0.93777,0.000313844,0.000313844,0.000313844
3,410.853,0.02215,0.0253,1.42059,0.88827,0.23093,0.24334,0.14004,0.107,0.22856,0.24018,0.13598,0.10321,0.02173,0.02649,1.36359,0.91458,0.000468331,0.000468331,0.000468331
4,547.213,0.0213,0.0238,1.27421,0.88612,0.09564,0.26087,0.12962,0.09488,0.09515,0.25856,0.128,0.09371,0.02159,0.02707,1.28354,0.9115,0.000466575,0.000466575,0.000466575
5,684.012,0.02094,0.02438,1.20707,0.88432,0.16848,0.23685,0.14802,0.11374,0.16826,0.2352,0.14832,0.10738,0.021,0.02617,1.17859,0.90964,0.000463434,0.000463434,0.000463434
6,819.262,0.01998,0.02276,1.15634,0.87964,0.20408,0.25416,0.16467,0.12848,0.20406,0.25406,0.16499,0.12334,0.01977,0.02613,1.12761,0.89555,0.000460292,0.000460292,0.000460292
7,955.786,0.01907,0.02313,1.10603,0.86854,0.13923,0.31578,0.16875,0.13265,0.13891,0.31504,0.16856,0.12643,0.01913,0.02538,1.14401,0.89385,0.00045715,0.00045715,0.00045715
8,1092.18,0.01914,0.02249,1.07018,0.87291,0.17732,0.28753,0.18626,0.15097,0.17792,0.28764,0.18713,0.14501,0.01908,0.02453,1.12424,0.89622,0.000454009,0.000454009,0.000454009
9,1230.65,0.01867,0.0221,1.06045,0.86522,0.1361,0.39591,0.18708,0.14946,0.13753,0.39062,0.18726,0.13965,0.01943,0.02532,1.09229,0.89257,0.000450867,0.000450867,0.000450867
10,1369.36,0.0183,0.02183,1.01687,0.86627,0.15798,0.31084,0.19965,0.16005,0.15713,0.31208,0.19971,0.15043,0.01868,0.02482,1.08189,0.88999,0.000447726,0.000447726,0.000447726
11,1504.52,0.01803,0.02115,1.00611,0.86019,0.20134,0.3279,0.22943,0.18709,0.20153,0.32864,0.22986,0.1802,0.01818,0.02392,1.00155,0.88253,0.000444584,0.000444584,0.000444584
12,1640.08,0.01786,0.02194,0.99396,0.86468,0.23796,0.34804,0.24603,0.2047,0.23796,0.34804,0.24586,0.18817,0.01788,0.0234,1.03857,0.88015,0.000441442,0.000441442,0.000441442
13,1774.19,0.01702,0.02072,0.97378,0.8513,0.30013,0.37067,0.25765,0.21135,0.30186,0.35884,0.25852,0.19614,0.01815,0.02369,0.99631,0.88978,0.000438301,0.000438301,0.000438301
14,1910.6,0.01739,0.02079,0.96461,0.85339,0.29837,0.37888,0.25521,0.21139,0.2987,0.37962,0.25586,0.19917,0.01788,0.024,1.01514,0.88607,0.000435159,0.000435159,0.000435159
15,2046.11,0.01744,0.02103,0.94907,0.85694,0.2695,0.38921,0.25001,0.20829,0.27061,0.38737,0.25067,0.19493,0.01809,0.02441,0.95433,0.88354,0.000432018,0.000432018,0.000432018
16,2181.36,0.0169,0.02031,0.95276,0.85452,0.22637,0.3401,0.23248,0.19088,0.23553,0.33571,0.23239,0.17582,0.01799,0.02465,1.00958,0.88749,0.000428876,0.000428876,0.000428876
17,2317.21,0.01655,0.01977,0.9326,0.85171,0.32528,0.4079,0.27519,0.22804,0.32528,0.4079,0.27471,0.21001,0.01723,0.02377,0.95126,0.88155,0.000425734,0.000425734,0.000425734
18,2452.12,0.01681,0.02015,0.89938,0.85828,0.30724,0.40776,0.28618,0.23472,0.30755,0.40849,0.28618,0.22005,0.01785,0.02356,0.95301,0.88048,0.000422593,0.000422593,0.000422593
