epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.151,0.86563,1.25985,4.58631,0.94701,0.92122,0.02869,0.05073,0.03845,0.92122,0.02869,0.05257,0.04228,0.67028,0.84356,4.29448,0.82639,0.000157275,0.000157275,0.000157275
2,287.334,0.81021,0.92724,4.02357,0.87099,0.50364,0.13346,0.07913,0.06396,0.50364,0.13346,0.0795,0.06355,0.66931,0.73624,3.69553,0.84585,0.000313856,0.000313856,0.000313856
3,443.512,0.78337,0.84994,3.53108,0.86654,0.1268,0.26122,0.09411,0.07774,0.1268,0.26122,0.09411,0.07302,0.66016,0.70224,3.17985,0.8465,0.000468343,0.000468343,0.000468343
4,587.021,0.78043,0.81536,3.28271,0.87298,0.16523,0.31554,0.11975,0.09951,0.16475,0.31453,0.11925,0.09569,0.62966,0.67085,2.8035,0.84468,0.000466575,0.000466575,0.000466575
5,729.626,0.7431,0.79137,3.04546,0.86572,0.09428,0.29155,0.12774,0.10689,0.09428,0.29155,0.12773,0.10231,0.62496,0.66118,2.7413,0.83882,0.000463434,0.000463434,0.000463434
6,872.068,0.73001,0.79839,2.8913,0.85658,0.09803,0.25559,0.13636,0.11176,0.09803,0.25559,0.13636,0.10902,0.63154,0.69975,2.64267,0.84137,0.000460292,0.000460292,0.000460292
7,1013.87,0.67704,0.72167,2.76968,0.85266,0.11092,0.27787,0.12845,0.10737,0.11092,0.27787,0.12845,0.10129,0.55746,0.6469,2.5579,0.83287,0.00045715,0.00045715,0.00045715
8,1161.31,0.6567,0.70193,2.70638,0.8529,0.12185,0.3381,0.14914,0.1265,0.12185,0.3381,0.14914,0.11898,0.53418,0.64024,2.50854,0.82972,0.000454009,0.000454009,0.000454009
9,1307.21,0.66388,0.72971,2.64283,0.84752,0.11803,0.32982,0.15905,0.13338,0.11755,0.32245,0.15914,0.12666,0.5469,0.6525,2.49389,0.82774,0.000450867,0.000450867,0.000450867
10,1451.39,0.63903,0.70913,2.61268,0.84665,0.14638,0.28048,0.17694,0.15372,0.14638,0.28048,0.17694,0.14241,0.53151,0.62647,2.43117,0.82745,0.000447726,0.000447726,0.000447726
11,1593.46,0.62866,0.69532,2.56468,0.8423,0.15223,0.38274,0.18666,0.16054,0.15223,0.38274,0.18666,0.1476,0.5452,0.63098,2.36712,0.83276,0.000444584,0.000444584,0.000444584
12,1736.05,0.61251,0.6615,2.47978,0.84359,0.145,0.32037,0.18791,0.1612,0.14635,0.31797,0.18869,0.15157,0.52401,0.62778,2.31983,0.82511,0.000441442,0.000441442,0.000441442
13,1876.96,0.63414,0.71027,2.50352,0.84722,0.14836,0.291,0.18272,0.15658,0.14836,0.291,0.18272,0.14679,0.53893,0.6063,2.33349,0.82949,0.000438301,0.000438301,0.000438301
14,2018.65,0.63027,0.71995,2.48208,0.84476,0.22528,0.32589,0.1964,0.17071,0.22528,0.32589,0.19661,0.15822,0.52138,0.61855,2.25754,0.82998,0.000435159,0.000435159,0.000435159
15,2163.2,0.59221,0.65923,2.41821,0.83261,0.23713,0.33191,0.21761,0.18939,0.23713,0.33191,0.21768,0.17721,0.52557,0.63033,2.19937,0.82649,0.000432018,0.000432018,0.000432018
16,2312.1,0.63479,0.76746,2.42445,0.84889,0.17741,0.32839,0.21485,0.18609,0.17769,0.3294,0.21603,0.17185,0.50367,0.63174,2.26005,0.82873,0.000428876,0.000428876,0.000428876
17,2454.89,0.58056,0.66344,2.31018,0.83955,0.20311,0.35897,0.22972,0.19856,0.20311,0.35897,0.22986,0.18303,0.50853,0.63485,2.15626,0.8301,0.000425734,0.000425734,0.000425734
18,2597.26,0.61216,0.69193,2.29374,0.84326,0.17375,0.43631,0.23503,0.20059,0.17375,0.43631,0.23517,0.19173,0.50245,0.61062,2.14454,0.82971,0.000422593,0.000422593,0.000422593
19,2739.17,0.59791,0.69577,2.33003,0.83973,0.1898,0.3864,0.23057,0.19792,0.1898,0.3864,0.23067,0.1831,0.48642,0.60853,2.16951,0.82482,0.000419451,0.000419451,0.000419451
