epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1038.53,0.04836,1.78672,1.02377,0.01231,0.2,0.13675,0.08235,0.03978,1.7996,0.8754,0.00013635,0.00013635,0.00013635
2,1174.43,0.04502,1.42916,0.91603,0.01294,0.11959,0.11191,0.07679,0.03782,1.72179,0.87543,0.000279,0.000279,0.000279
3,1340.94,0.04285,1.13915,0.90998,0.02365,0.16017,0.13799,0.09736,0.03625,1.61316,0.86179,0.000418771,0.000418771,0.000418771
4,1961.08,0.0421,0.93443,0.90867,1,0.09382,0.19227,0.15097,0.03892,1.43135,0.8812,0.000555662,0.000555662,0.000555662
5,2033.97,0.03936,0.8567,0.88921,0.94796,0.05,0.07669,0.05904,0.03922,1.35513,0.88875,0.000689673,0.000689673,0.000689673
6,3310.49,0.03831,0.79375,0.88775,0.91635,0.11078,0.22905,0.17065,0.03661,1.1561,0.89287,0.000820804,0.000820804,0.000820804
7,3716.21,0.03899,0.74723,0.8819,0.79747,0.19067,0.23396,0.15431,0.03573,0.88347,0.9001,0.000855005,0.000855005,0.000855005
8,4819.19,0.03702,0.71174,0.87255,0.47463,0.19399,0.23289,0.14603,0.03503,0.75374,0.92397,0.000846006,0.000846006,0.000846006
9,5632.71,0.03681,0.66243,0.87289,0.9869,0.05,0.07726,0.04731,0.0363,0.68562,0.90099,0.000837007,0.000837007,0.000837007
10,6967.93,0.0373,0.64724,0.87654,0.99393,0.05,0.07704,0.05318,0.03235,0.6991,0.88752,0.000828008,0.000828008,0.000828008
11,7582.53,0.03438,0.61618,0.86601,0.5755,0.21096,0.23735,0.17816,0.0314,0.62816,0.88505,0.000819009,0.000819009,0.000819009
12,9561.24,0.03437,0.62357,0.86729,0.41441,0.21316,0.23282,0.17518,0.03193,0.72986,0.87807,0.00081001,0.00081001,0.00081001
13,11088.1,0.03489,0.637,0.86138,0.89656,0.05,0.0537,0.04833,0.03404,0.88929,0.89098,0.000801011,0.000801011,0.000801011
14,12008.4,0.03562,0.6128,0.8661,0.79273,0.05,0.07672,0.05391,0.03223,0.63023,0.89407,0.000792012,0.000792012,0.000792012
15,14209.4,0.03399,0.56326,0.85779,0.79412,0.05,0.07588,0.06075,0.03035,0.69226,0.87469,0.000783013,0.000783013,0.000783013
16,15784.1,0.03311,0.55047,0.85711,0.63173,0.20131,0.22882,0.18212,0.03058,0.60479,0.88147,0.000774013,0.000774013,0.000774013
17,16877.7,0.03206,0.53899,0.85489,0.69023,0.07222,0.07651,0.06886,0.03151,0.59991,0.88711,0.000765014,0.000765014,0.000765014
18,17622.3,0.03153,0.51359,0.84849,0.99335,0.05,0.0773,0.06957,0.03366,0.61177,0.90028,0.000756015,0.000756015,0.000756015
19,18196.2,0.0334,0.53285,0.85701,0.99323,0.05,0.07617,0.06617,0.03096,0.62446,0.88628,0.000747016,0.000747016,0.000747016
20,20359.9,0.03228,0.52798,0.85486,0.55634,0.24118,0.25546,0.19523,0.03005,0.59073,0.87566,0.000738017,0.000738017,0.000738017
21,21108.4,0.03076,0.49126,0.85345,0.59208,0.21896,0.25728,0.19265,0.02901,0.55707,0.86189,0.000729018,0.000729018,0.000729018
22,22994.7,0.0306,0.48059,0.84715,0.25586,0.07222,0.0765,0.06136,0.02925,0.60256,0.86135,0.000720019,0.000720019,0.000720019
23,28096.3,0.03091,0.50726,0.84847,0.49045,0.07222,0.07585,0.04634,0.03071,0.74536,0.89456,0.00071102,0.00071102,0.00071102
24,47496.9,0.03077,0.47481,0.85023,0.47101,0.24118,0.2517,0.21084,0.03247,0.623,0.88136,0.000702021,0.000702021,0.000702021
25,52060,0.03163,0.46831,0.8478,0.34411,0.21773,0.23025,0.18597,0.03047,0.65998,0.87192,0.000693022,0.000693022,0.000693022
26,53910.2,0.03168,0.48313,0.84627,0.65793,0.21407,0.24229,0.17865,0.03013,0.52151,0.88267,0.000684022,0.000684022,0.000684022
27,55567.6,0.02976,0.45663,0.84728,0.41262,0.07222,0.07757,0.05378,0.02985,0.61252,0.88186,0.000675023,0.000675023,0.000675023
28,55667.1,0.02963,0.43296,0.84167,0.6953,0.21026,0.24716,0.18036,0.02959,0.64694,0.87575,0.000666024,0.000666024,0.000666024
29,55814,0.02969,0.43773,0.8427,0.59231,0.24116,0.25213,0.19749,0.0288,0.59449,0.86837,0.000657025,0.000657025,0.000657025
