epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.059,0.9438,1.51911,4.68105,0.98322,0,0,0,0,0,0,0,0,0.90992,1.42503,4.58622,0.90373,0.00013328,0.00013328,0.00013328
2,355.7,0.8157,0.96493,4.12103,0.86415,0.01865,0.11616,0.03915,0.02778,0.01923,0.1183,0.03947,0.03095,0.86815,1.24865,4.477,0.88196,0.000269529,0.000269529,0.000269529
3,644.646,0.83812,0.94194,3.61913,0.87042,0.03719,0.15952,0.05863,0.04408,0.03756,0.16036,0.05884,0.04715,0.87648,1.23098,4.40994,0.91641,0.000403956,0.000403956,0.000403956
4,927.515,0.80231,0.87879,3.14059,0.86326,0.02885,0.14448,0.04434,0.03511,0.02953,0.14857,0.04579,0.03434,0.91069,1.1924,3.8646,0.90161,0.000466575,0.000466575,0.000466575
5,1218.35,0.78796,0.87574,2.82381,0.85933,0.09613,0.08402,0.04015,0.0329,0.10382,0.08228,0.03997,0.03165,0.85201,1.10069,3.15614,0.89427,0.000463434,0.000463434,0.000463434
6,1537.26,0.75071,0.84676,2.68176,0.86626,0.11325,0.06666,0.04237,0.03438,0.11325,0.06666,0.04237,0.03259,0.83877,1.08337,2.80073,0.89534,0.000460292,0.000460292,0.000460292
7,1907.84,0.75387,0.85332,2.58021,0.86268,0.0291,0.08762,0.03329,0.02911,0.0291,0.08762,0.03329,0.02635,0.82888,1.11633,2.71825,0.90122,0.00045715,0.00045715,0.00045715
8,2325.38,0.73139,0.84806,2.52123,0.86302,0.082,0.07204,0.03674,0.03062,0.08288,0.0723,0.03674,0.02787,0.81217,1.15015,2.65762,0.90718,0.000454009,0.000454009,0.000454009
9,2811.32,0.70817,0.83598,2.43779,0.85754,0.10562,0.04232,0.03108,0.02702,0.10562,0.04232,0.03108,0.02423,0.76871,1.06138,2.46602,0.89165,0.000450867,0.000450867,0.000450867
10,3314.73,0.66952,0.76691,2.36553,0.84533,0.12152,0.04507,0.03978,0.03462,0.12152,0.04507,0.03978,0.03098,0.77715,1.099,2.48105,0.89355,0.000447726,0.000447726,0.000447726
11,3877.14,0.6801,0.76563,2.34073,0.85186,0.13302,0.04857,0.04124,0.03714,0.13302,0.04857,0.04124,0.03323,0.74376,1.03702,2.37169,0.88275,0.000444584,0.000444584,0.000444584
12,4464.35,0.66181,0.77454,2.29814,0.84681,0.13021,0.04075,0.04308,0.03897,0.13021,0.04075,0.04308,0.03438,0.76385,1.05204,2.38817,0.8973,0.000441442,0.000441442,0.000441442
13,5155.75,0.65892,0.77198,2.23383,0.84654,0.16658,0.04195,0.04468,0.04042,0.16658,0.04195,0.04468,0.03587,0.75751,1.06119,2.39968,0.90028,0.000438301,0.000438301,0.000438301
14,6088.3,0.64896,0.76197,2.19996,0.84308,0.23044,0.02963,0.04978,0.04379,0.23044,0.02963,0.04978,0.03833,0.73222,1.00267,2.43116,0.89342,0.000435159,0.000435159,0.000435159
15,7761.11,0.63047,0.72457,2.19461,0.8407,0.2422,0.02772,0.03546,0.03168,0.2422,0.02772,0.03546,0.0272,0.79511,1.16549,2.40837,0.90987,0.000432018,0.000432018,0.000432018
16,8697.55,0.63542,0.73404,2.14406,0.84186,0.22188,0.04801,0.04467,0.04033,0.22188,0.04801,0.04467,0.03632,0.74242,1.03421,2.35948,0.90218,0.000428876,0.000428876,0.000428876
17,9811.65,0.60635,0.70109,2.11293,0.83953,0.18809,0.03377,0.04151,0.03835,0.18809,0.03377,0.04151,0.03278,0.73034,0.98634,2.46789,0.89472,0.000425734,0.000425734,0.000425734
18,11056.3,0.63904,0.74404,2.06309,0.84742,0.17057,0.02854,0.02982,0.02717,0.17057,0.02854,0.02982,0.02312,0.75254,1.05263,2.28715,0.90122,0.000422593,0.000422593,0.000422593
19,12718.9,0.5992,0.70408,2.079,0.83448,0.16202,0.0298,0.03702,0.03318,0.16202,0.0298,0.03702,0.02933,0.73248,1.04746,2.22742,0.89203,0.000419451,0.000419451,0.000419451
20,15383.8,0.61829,0.71932,2.05598,0.83451,0.20948,0.05086,0.04748,0.04369,0.20948,0.05086,0.04748,0.03813,0.74322,1.06314,2.1932,0.90669,0.00041631,0.00041631,0.00041631
21,18517.6,0.60935,0.73517,2.03376,0.83626,0.2662,0.05237,0.05187,0.04761,0.2662,0.05237,0.05187,0.04203,0.72776,1.05361,2.45758,0.89182,0.000413168,0.000413168,0.000413168
22,33857.6,0.5937,0.70059,2.02287,0.83951,0.21426,0.04795,0.04892,0.04504,0.21426,0.04795,0.04892,0.03902,0.73354,1.0596,2.21973,0.89361,0.000410026,0.000410026,0.000410026
