epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.605,0.9107,1.35766,4.584,0.95896,0.39087,0.05458,0.06225,0.04444,0.32884,0.06071,0.06292,0.04722,0.82383,1.08592,4.39911,0.867,0.000157263,0.000157263,0.000157263
2,293.786,0.82512,0.94431,3.93932,0.8682,0.26312,0.16272,0.10066,0.07651,0.26255,0.16298,0.1008,0.08062,0.82803,1.01612,3.73434,0.8958,0.000313844,0.000313844,0.000313844
3,438.563,0.81098,0.90381,3.45233,0.86971,0.27492,0.27041,0.11615,0.09142,0.27605,0.26978,0.11509,0.0896,0.84274,1.00256,3.3156,0.91638,0.000468331,0.000468331,0.000468331
4,581.057,0.80404,0.8663,3.10789,0.87538,0.13454,0.20126,0.12203,0.09475,0.13432,0.20053,0.12176,0.09194,0.80006,0.97247,3.04274,0.89849,0.000466575,0.000466575,0.000466575
5,729.283,0.77053,0.8633,2.90967,0.87119,0.10714,0.22399,0.14546,0.11494,0.10714,0.22399,0.14528,0.10677,0.77491,0.94503,2.81677,0.89114,0.000463434,0.000463434,0.000463434
6,873.363,0.74951,0.83541,2.8,0.87377,0.12702,0.25417,0.16407,0.13034,0.12844,0.25421,0.16479,0.12313,0.74927,0.96288,2.70327,0.88862,0.000460292,0.000460292,0.000460292
7,1017.48,0.72609,0.82931,2.69215,0.86506,0.12915,0.31702,0.15901,0.12619,0.12915,0.31702,0.15904,0.11995,0.71474,0.90967,2.64026,0.88487,0.00045715,0.00045715,0.00045715
8,1162.03,0.72437,0.7992,2.6118,0.86651,0.13149,0.32663,0.15669,0.12677,0.13149,0.32663,0.15665,0.11762,0.71266,0.88008,2.60618,0.87965,0.000454009,0.000454009,0.000454009
9,1312.21,0.69536,0.7909,2.59668,0.85936,0.13193,0.34263,0.16388,0.12673,0.13193,0.34263,0.16383,0.12114,0.72819,0.89736,2.55501,0.88184,0.000450867,0.000450867,0.000450867
10,1455.44,0.68403,0.77312,2.49293,0.85686,0.16322,0.33179,0.17602,0.14469,0.16356,0.33252,0.17709,0.13751,0.68849,0.87278,2.506,0.87519,0.000447726,0.000447726,0.000447726
11,1601.52,0.66902,0.76303,2.46581,0.85287,0.15723,0.31795,0.18305,0.15283,0.15708,0.31711,0.18373,0.14378,0.68209,0.85939,2.4821,0.87921,0.000444584,0.000444584,0.000444584
12,1743.16,0.67606,0.77816,2.45639,0.85834,0.21674,0.27523,0.20909,0.17228,0.21689,0.27534,0.2093,0.159,0.68759,0.89913,2.59464,0.87927,0.000441442,0.000441442,0.000441442
13,1884.8,0.63689,0.73208,2.39009,0.84737,0.1572,0.34288,0.19761,0.16329,0.1572,0.34288,0.1987,0.15248,0.69817,0.90313,2.42953,0.88242,0.000438301,0.000438301,0.000438301
14,2028.66,0.65765,0.7447,2.38384,0.84977,0.18674,0.35431,0.22,0.18295,0.18674,0.35431,0.22133,0.17312,0.69355,0.87291,2.39744,0.876,0.000435159,0.000435159,0.000435159
15,2171.21,0.64989,0.74728,2.34418,0.84862,0.29567,0.25673,0.21202,0.17579,0.29846,0.25489,0.21363,0.16664,0.676,0.85009,2.36222,0.87413,0.000432018,0.000432018,0.000432018
16,2312.22,0.63138,0.72442,2.3575,0.84552,0.21367,0.27863,0.23756,0.19591,0.21395,0.27936,0.23866,0.18294,0.66658,0.86866,2.37547,0.87357,0.000428876,0.000428876,0.000428876
17,2453.79,0.60771,0.70323,2.29886,0.84343,0.22431,0.32205,0.24555,0.20657,0.22487,0.32278,0.24703,0.19097,0.64959,0.84836,2.34076,0.87226,0.000425734,0.000425734,0.000425734
18,2599.06,0.62552,0.72229,2.2294,0.85157,0.15981,0.39436,0.21966,0.18561,0.15981,0.39436,0.21952,0.17063,0.66975,0.85552,2.34356,0.87613,0.000422593,0.000422593,0.000422593
19,2739.97,0.60344,0.69125,2.19769,0.84314,0.23971,0.38786,0.23297,0.19511,0.23968,0.38834,0.23455,0.18346,0.66215,0.86176,2.29239,0.87815,0.000419451,0.000419451,0.000419451
20,2881.83,0.64173,0.75143,2.19767,0.84912,0.2442,0.39145,0.23561,0.19544,0.24376,0.39093,0.23702,0.18376,0.67137,0.87351,2.29866,0.88364,0.00041631,0.00041631,0.00041631
21,3022.81,0.62329,0.71816,2.18286,0.84275,0.2721,0.35828,0.24439,0.20455,0.27241,0.35901,0.24587,0.19334,0.65635,0.88124,2.24338,0.87068,0.000413168,0.000413168,0.000413168
22,3164.19,0.60725,0.71006,2.1215,0.84399,0.34069,0.32573,0.26399,0.22003,0.34101,0.32598,0.26416,0.20655,0.66733,0.86608,2.23332,0.87857,0.000410026,0.000410026,0.000410026
23,3306.84,0.6069,0.70072,2.11939,0.84092,0.3067,0.29107,0.24157,0.20367,0.30637,0.29081,0.24116,0.19133,0.65391,0.86116,2.22407,0.87585,0.000406885,0.000406885,0.000406885
24,3448.79,0.61253,0.72984,2.06912,0.84847,0.22597,0.413,0.26212,0.21936,0.22443,0.40823,0.26342,0.20305,0.64873,0.84152,2.16724,0.87216,0.000403743,0.000403743,0.000403743
25,3590.81,0.60931,0.69559,2.07586,0.83681,0.22845,0.42653,0.27527,0.23387,0.22761,0.42384,0.27583,0.21737,0.64366,0.86047,2.18451,0.86734,0.000400602,0.000400602,0.000400602
26,3735.45,0.60681,0.70037,2.01578,0.84253,0.38158,0.40592,0.29906,0.2503,0.38416,0.40661,0.30002,0.23154,0.6507,0.83955,2.13507,0.86749,0.00039746,0.00039746,0.00039746
27,3880.27,0.58545,0.6757,2.03023,0.83902,0.30831,0.42214,0.27952,0.23599,0.30888,0.42313,0.28061,0.21622,0.6624,0.83851,2.2324,0.87555,0.000394318,0.000394318,0.000394318
28,4022.8,0.61206,0.70952,1.98523,0.83649,0.30907,0.41923,0.29005,0.2491,0.31082,0.41976,0.29049,0.22584,0.64439,0.84341,2.21645,0.87518,0.000391177,0.000391177,0.000391177
29,4164.86,0.59447,0.68377,1.99549,0.83709,0.40315,0.409,0.28683,0.24192,0.40387,0.40999,0.28775,0.22365,0.64051,0.84235,2.15632,0.8699,0.000388035,0.000388035,0.000388035
30,4305.36,0.60829,0.71012,1.99781,0.83711,0.3376,0.40868,0.29268,0.24634,0.33772,0.4086,0.29291,0.22707,0.6426,0.83915,2.1009,0.87445,0.000384894,0.000384894,0.000384894
31,4447.26,0.59856,0.68906,1.94499,0.83475,0.38574,0.38261,0.30441,0.2583,0.38605,0.38335,0.30503,0.23716,0.6331,0.85461,2.0583,0.86908,0.000381752,0.000381752,0.000381752
32,4587.76,0.58229,0.67446,1.93759,0.8346,0.27271,0.45207,0.26914,0.22688,0.27271,0.45207,0.26897,0.21038,0.63457,0.83785,2.1616,0.8704,0.00037861,0.00037861,0.00037861
33,4726.52,0.58114,0.68339,1.92479,0.83782,0.33065,0.4005,0.28902,0.24651,0.33065,0.4005,0.28868,0.22361,0.63251,0.83868,2.12212,0.86782,0.000375469,0.000375469,0.000375469
34,4871.41,0.58221,0.67283,1.89422,0.83704,0.32184,0.45974,0.31119,0.26821,0.32281,0.46099,0.31205,0.24235,0.62523,0.83532,2.05499,0.87259,0.000372327,0.000372327,0.000372327
35,5017.18,0.5909,0.67048,1.84795,0.83787,0.2483,0.41805,0.31462,0.26628,0.24899,0.41856,0.31333,0.24051,0.63718,0.8776,2.10955,0.8717,0.000369186,0.000369186,0.000369186
36,5163.39,0.56033,0.63878,1.86612,0.83727,0.26099,0.40912,0.27479,0.23424,0.26163,0.41021,0.27491,0.21485,0.62894,0.84667,2.10985,0.86938,0.000366044,0.000366044,0.000366044
37,5307.63,0.57242,0.65752,1.83123,0.83078,0.37826,0.45098,0.31814,0.2735,0.37826,0.45098,0.31785,0.25347,0.62153,0.85252,2.22932,0.86793,0.000362902,0.000362902,0.000362902
38,5451.65,0.57867,0.67159,1.82382,0.83269,0.28881,0.41817,0.27652,0.23535,0.2898,0.41783,0.27649,0.21551,0.64235,0.82795,2.06805,0.87065,0.000359761,0.000359761,0.000359761
39,5593.95,0.56867,0.6432,1.80349,0.83214,0.40068,0.42633,0.31626,0.27038,0.40068,0.42633,0.31601,0.2458,0.63592,0.83923,2.15696,0.87196,0.000356619,0.000356619,0.000356619
40,5736.87,0.57652,0.67428,1.81336,0.83561,0.20452,0.4937,0.27412,0.23184,0.20479,0.49444,0.27425,0.21668,0.62499,0.83332,2.2631,0.86687,0.000353478,0.000353478,0.000353478
41,5877.34,0.56071,0.6451,1.77297,0.83294,0.33638,0.395,0.30527,0.26208,0.33571,0.39481,0.30437,0.2388,0.6373,0.86297,2.07925,0.87367,0.000350336,0.000350336,0.000350336
42,6020.68,0.56468,0.66392,1.74987,0.82951,0.32196,0.41306,0.30044,0.25544,0.32222,0.41379,0.30101,0.23485,0.6403,0.85319,2.0798,0.8684,0.000347194,0.000347194,0.000347194
43,6163.59,0.57986,0.66822,1.79812,0.83511,0.30843,0.42751,0.31261,0.26905,0.30887,0.42825,0.31309,0.24517,0.62584,0.84021,2.01816,0.86568,0.000344053,0.000344053,0.000344053
44,6303.56,0.56072,0.6517,1.74949,0.83241,0.34463,0.39997,0.29638,0.25612,0.34498,0.4007,0.29702,0.23424,0.63352,0.81799,2.04836,0.87131,0.000340911,0.000340911,0.000340911
